station,x_m,y_m,z_m
1,0.0585,-0.0010,-0.1636
1,0.0585,-0.0007,-0.1643
1,0.0585,-0.0003,-0.1647
1,0.0585,-0.0000,-0.1648
1,0.0585,0.0003,-0.1647
1,0.0585,0.0007,-0.1643
1,0.0585,0.0010,-0.1636
1,0.0585,0.0013,-0.1627
1,0.0585,0.0017,-0.1615
1,0.0585,0.0020,-0.1600
1,0.0585,0.0023,-0.1583
1,0.0585,0.0027,-0.1563
1,0.0585,0.0030,-0.1541
1,0.0585,0.0033,-0.1516
1,0.0585,0.0036,-0.1489
1,0.0585,0.0039,-0.1460
1,0.0585,0.0042,-0.1428
1,0.0585,0.0045,-0.1393
1,0.0585,0.0048,-0.1357
1,0.0585,0.0051,-0.1318
1,0.0585,0.0053,-0.1277
1,0.0585,0.0056,-0.1234
1,0.0585,0.0058,-0.1189
1,0.0585,0.0061,-0.1142
1,0.0585,0.0063,-0.1093
1,0.0585,0.0065,-0.1043
1,0.0585,0.0067,-0.0990
1,0.0585,0.0069,-0.0936
1,0.0585,0.0071,-0.0881
1,0.0585,0.0073,-0.0824
1,0.0585,0.0074,-0.0766
1,0.0585,0.0076,-0.0707
1,0.0585,0.0077,-0.0646
1,0.0585,0.0079,-0.0585
1,0.0585,0.0080,-0.0522
1,0.0585,0.0081,-0.0459
1,0.0585,0.0082,-0.0394
1,0.0585,0.0082,-0.0330
1,0.0585,0.0083,-0.0264
1,0.0585,0.0083,-0.0199
1,0.0585,0.0084,-0.0133
1,0.0585,0.0084,-0.0066
1,0.0585,0.0084,-0.0000
1,0.0585,0.0154,0.0581
1,0.0585,0.0223,0.1162
1,0.0585,0.0293,0.1743
1,0.0585,0.0363,0.2324
1,0.0585,0.0432,0.2905
1,0.0585,0.0502,0.3486
1,0.0585,0.0572,0.4067
1,0.0585,0.0641,0.4648
1,0.0585,0.0711,0.5230
1,0.0585,0.0781,0.5811
1,0.0585,0.0850,0.6392
1,0.0585,0.0920,0.6973
2,0.2325,-0.1221,0.7184
2,0.2325,-0.1149,0.6586
2,0.2325,-0.1077,0.5987
2,0.2325,-0.1004,0.5388
2,0.2325,-0.0932,0.4790
2,0.2325,-0.0860,0.4191
2,0.2325,-0.0787,0.3592
2,0.2325,-0.0715,0.2993
2,0.2325,-0.0643,0.2395
2,0.2325,-0.0571,0.1796
2,0.2325,-0.0498,0.1197
2,0.2325,-0.0426,0.0599
2,0.2325,-0.0354,-0.0000
2,0.2325,-0.0354,-0.0076
2,0.2325,-0.0353,-0.0153
2,0.2325,-0.0351,-0.0229
2,0.2325,-0.0349,-0.0304
2,0.2325,-0.0347,-0.0380
2,0.2325,-0.0344,-0.0454
2,0.2325,-0.0340,-0.0528
2,0.2325,-0.0336,-0.0601
2,0.2325,-0.0331,-0.0673
2,0.2325,-0.0326,-0.0744
2,0.2325,-0.0320,-0.0814
2,0.2325,-0.0313,-0.0882
2,0.2325,-0.0306,-0.0949
2,0.2325,-0.0299,-0.1015
2,0.2325,-0.0291,-0.1078
2,0.2325,-0.0283,-0.1140
2,0.2325,-0.0274,-0.1201
2,0.2325,-0.0265,-0.1259
2,0.2325,-0.0255,-0.1315
2,0.2325,-0.0245,-0.1369
2,0.2325,-0.0235,-0.1421
2,0.2325,-0.0224,-0.1470
2,0.2325,-0.0213,-0.1517
2,0.2325,-0.0201,-0.1562
2,0.2325,-0.0189,-0.1604
2,0.2325,-0.0177,-0.1644
2,0.2325,-0.0164,-0.1680
2,0.2325,-0.0152,-0.1715
2,0.2325,-0.0139,-0.1746
2,0.2325,-0.0125,-0.1774
2,0.2325,-0.0112,-0.1800
2,0.2325,-0.0098,-0.1823
2,0.2325,-0.0085,-0.1843
2,0.2325,-0.0071,-0.1859
2,0.2325,-0.0057,-0.1873
2,0.2325,-0.0043,-0.1884
2,0.2325,-0.0028,-0.1892
2,0.2325,-0.0014,-0.1896
2,0.2325,-0.0000,-0.1898
2,0.2325,0.0014,-0.1896
2,0.2325,0.0028,-0.1892
2,0.2325,0.0043,-0.1884
2,0.2325,0.0057,-0.1873
2,0.2325,0.0071,-0.1859
2,0.2325,0.0085,-0.1843
2,0.2325,0.0098,-0.1823
2,0.2325,0.0112,-0.1800
2,0.2325,0.0125,-0.1774
2,0.2325,0.0139,-0.1746
2,0.2325,0.0152,-0.1715
2,0.2325,0.0164,-0.1680
2,0.2325,0.0177,-0.1644
2,0.2325,0.0189,-0.1604
2,0.2325,0.0201,-0.1562
2,0.2325,0.0213,-0.1517
2,0.2325,0.0224,-0.1470
2,0.2325,0.0235,-0.1421
2,0.2325,0.0245,-0.1369
2,0.2325,0.0255,-0.1315
2,0.2325,0.0265,-0.1259
2,0.2325,0.0274,-0.1201
2,0.2325,0.0283,-0.1140
2,0.2325,0.0291,-0.1078
2,0.2325,0.0299,-0.1015
2,0.2325,0.0306,-0.0949
2,0.2325,0.0313,-0.0882
2,0.2325,0.0320,-0.0814
2,0.2325,0.0326,-0.0744
2,0.2325,0.0331,-0.0673
2,0.2325,0.0336,-0.0601
2,0.2325,0.0340,-0.0528
2,0.2325,0.0344,-0.0454
2,0.2325,0.0347,-0.0380
2,0.2325,0.0349,-0.0304
2,0.2325,0.0351,-0.0229
2,0.2325,0.0353,-0.0153
2,0.2325,0.0354,-0.0076
